Region,Area,Landmark,Traffic_Index,Pollution_Index,Max_Traffic_Time,Date,Time
Suburb,South,School,62,29,Night,7/23/18,19:52:20
Residential,South,Park,37,71,Morning,8/8/19,04:45:24
Suburb,West,School,65,79,Night,4/11/20,11:33:38
Industrial,East,Mall,51,129,Evening,10/2/24,02:18:04
Industrial,South,Stadium,79,132,Morning,3/24/24,02:22:08
Industrial,North,Mall,22,123,Evening,3/29/19,09:09:50
Residential,North,Mall,10,38,Morning,3/2/23,13:56:04
Downtown,West,Hospital,92,25,Afternoon,1/10/18,19:18:03
Suburb,North,School,91,89,Night,12/31/18,02:26:12
Suburb,South,Stadium,15,138,Evening,10/23/24,14:33:20
Industrial,East,Stadium,88,131,Afternoon,10/28/22,13:22:02
Industrial,South,Hospital,76,135,Morning,5/1/20,09:22:31
Downtown,East,Stadium,25,87,Afternoon,1/3/24,08:52:12
Suburb,West,School,37,102,Morning,1/1/19,12:03:56
Downtown,East,Mall,61,124,Morning,8/2/19,05:21:48
Residential,East,School,52,149,Evening,11/17/18,01:54:12
Residential,East,Hospital,65,36,Night,9/4/19,15:56:40
Residential,North,Park,82,72,Evening,2/3/25,18:18:01
Suburb,North,Stadium,85,77,Afternoon,6/14/23,20:58:32
Residential,East,Park,77,98,Morning,10/17/22,13:36:27
Downtown,North,Hospital,22,58,Afternoon,4/8/23,03:35:00
Industrial,South,Hospital,81,71,Morning,5/12/22,10:12:29
Industrial,South,Park,20,101,Afternoon,3/5/25,20:31:55
Downtown,West,Mall,15,54,Night,10/25/21,01:19:38
Suburb,South,Mall,28,76,Afternoon,12/10/18,02:17:31
Downtown,West,Mall,52,78,Morning,9/13/22,11:10:35
Suburb,East,Park,69,32,Evening,7/14/20,03:37:54
Industrial,West,Hospital,81,54,Morning,1/27/23,13:11:47
Residential,South,Hospital,97,25,Afternoon,12/22/23,05:05:09
Industrial,South,Hospital,48,34,Morning,4/7/24,15:45:45
Residential,East,Hospital,99,120,Morning,12/9/24,14:53:45
Industrial,East,Stadium,50,81,Afternoon,4/22/18,02:20:58
Suburb,South,Mall,98,136,Night,3/26/19,08:59:12
Downtown,East,Park,95,118,Afternoon,3/30/25,11:32:39
Suburb,North,School,96,115,Night,1/2/19,03:05:34
Downtown,West,Mall,93,123,Afternoon,3/28/19,23:15:50
Downtown,West,Park,17,126,Night,4/14/19,13:11:16
Suburb,East,Stadium,69,38,Afternoon,11/7/19,07:57:31
Residential,West,Mall,89,133,Night,11/2/18,08:24:37
Industrial,East,Mall,90,81,Night,11/19/21,17:14:51
Residential,West,School,11,120,Morning,3/22/18,16:19:15
Residential,West,Park,84,31,Night,5/10/24,03:03:12
Industrial,West,Stadium,91,63,Evening,6/15/23,00:05:32
Downtown,South,Stadium,95,70,Night,3/14/22,21:23:41
Downtown,North,Park,52,71,Afternoon,2/7/25,06:49:13
Downtown,North,School,98,61,Afternoon,6/4/18,09:36:13
Residential,South,Mall,17,71,Night,4/3/22,23:04:12
Industrial,West,Stadium,11,59,Night,9/22/19,22:33:16
Residential,East,Park,76,97,Morning,1/19/20,09:21:38
Industrial,South,Park,66,37,Morning,11/16/24,04:02:13
Industrial,North,Park,70,33,Afternoon,6/6/18,23:12:16
Industrial,West,Mall,71,142,Afternoon,4/6/22,21:58:32
Industrial,West,Stadium,16,146,Afternoon,5/10/24,11:45:00
Suburb,East,School,11,131,Afternoon,6/7/24,06:00:16
Suburb,East,Park,10,131,Night,6/19/23,03:55:08
Residential,East,Park,43,64,Afternoon,2/2/23,15:23:04
Downtown,North,Mall,71,109,Morning,11/15/18,10:36:06
Residential,North,Stadium,88,58,Night,2/18/25,00:29:55
Downtown,South,School,60,68,Morning,1/22/23,18:26:58
Industrial,South,Hospital,73,138,Night,2/28/19,22:09:37
Industrial,South,Hospital,21,136,Night,11/15/20,03:05:38
Downtown,South,Hospital,75,34,Night,12/28/18,22:19:25
Suburb,West,Stadium,23,47,Night,10/30/20,02:12:00
Downtown,West,Stadium,88,30,Night,7/10/19,05:09:22
Industrial,West,Park,67,65,Afternoon,5/26/21,07:30:59
Residential,North,Mall,84,82,Morning,3/20/25,08:30:11
Downtown,North,Park,91,100,Night,12/23/22,22:54:26
Downtown,West,Park,52,21,Night,3/23/25,15:38:11
Industrial,West,School,66,54,Night,6/4/18,19:09:39
Downtown,East,Park,27,147,Afternoon,7/12/23,07:32:53
Industrial,South,School,23,103,Evening,10/4/19,00:37:11
Suburb,East,School,50,70,Evening,9/9/18,16:33:17
Residential,East,School,40,77,Night,8/3/18,06:53:49
Industrial,South,Hospital,36,111,Afternoon,9/15/21,02:38:38
Suburb,North,School,16,146,Afternoon,7/4/21,14:43:39
Downtown,East,Hospital,60,139,Morning,11/5/20,15:26:16
Residential,West,Park,46,60,Afternoon,3/4/21,05:01:42
Suburb,West,Mall,84,97,Evening,11/26/21,14:40:49
Suburb,South,Park,15,137,Morning,12/12/21,23:49:58
Industrial,East,Mall,78,111,Afternoon,10/25/19,18:26:26
Residential,West,School,38,125,Night,6/16/20,05:29:55
Downtown,East,Stadium,39,98,Night,9/9/20,02:12:28
Suburb,South,Hospital,61,112,Afternoon,1/17/23,17:02:57
Downtown,East,Hospital,23,75,Evening,12/10/22,08:11:09
Downtown,East,Mall,53,137,Morning,11/4/23,06:08:21
Industrial,East,Park,17,69,Night,10/18/24,11:19:52
Industrial,North,School,88,65,Night,4/10/23,04:20:33
Downtown,South,Hospital,45,36,Evening,6/16/20,18:42:46
Downtown,South,Mall,35,123,Morning,7/30/20,04:01:03
Residential,East,School,78,107,Morning,3/14/22,15:38:26
Residential,South,Mall,33,70,Evening,7/19/18,09:30:00
Residential,South,Park,85,148,Night,2/8/22,13:20:00
Downtown,South,Mall,11,88,Afternoon,5/20/23,00:29:10
Residential,North,Mall,68,97,Afternoon,3/16/19,11:01:55
Residential,South,Stadium,82,96,Afternoon,9/21/23,16:20:44
Suburb,North,Hospital,64,124,Morning,1/26/23,21:48:47
Residential,South,Hospital,58,90,Morning,10/1/24,02:21:32
Industrial,West,School,98,38,Night,3/15/19,02:35:33
Industrial,South,Hospital,30,55,Morning,5/26/22,19:32:34
Residential,North,Mall,98,38,Morning,1/24/25,10:38:09
Downtown,South,Stadium,74,48,Night,2/18/22,13:18:50
Industrial,North,School,75,125,Night,11/8/18,03:15:27
Residential,South,Park,35,34,Morning,12/5/23,08:22:38
Industrial,North,Stadium,93,61,Evening,6/15/23,18:21:39
Residential,West,Park,31,68,Night,3/13/25,21:02:05
Industrial,East,Stadium,46,26,Morning,4/13/18,12:04:27
Suburb,West,Park,99,61,Morning,6/27/23,07:13:57
Suburb,North,School,45,107,Night,7/9/23,02:06:57
Suburb,West,Stadium,71,96,Morning,5/25/24,22:01:44
Industrial,West,Mall,18,59,Evening,9/13/20,22:15:10
Residential,South,Hospital,61,55,Afternoon,3/31/24,09:52:19
Industrial,West,School,90,113,Afternoon,12/15/19,14:36:59
Residential,South,Park,64,25,Afternoon,6/12/18,13:04:36
Industrial,East,School,24,127,Night,2/2/22,10:35:08
Industrial,East,Mall,42,110,Morning,7/16/22,14:13:30
Downtown,West,Stadium,54,96,Night,1/26/18,05:46:54
Residential,West,Park,19,120,Evening,5/8/22,21:28:50
Residential,East,School,63,80,Afternoon,7/29/21,19:42:45
Downtown,South,Hospital,22,106,Evening,7/7/20,00:38:25
Industrial,East,Park,84,78,Evening,4/19/20,12:32:14
Suburb,East,School,20,94,Night,5/6/20,16:11:10
Industrial,West,Hospital,67,61,Night,3/3/25,18:49:30
Residential,East,Stadium,20,30,Morning,8/2/20,00:44:26
Industrial,North,School,69,52,Afternoon,12/5/21,19:50:03
Suburb,North,Hospital,13,31,Night,3/9/25,10:00:02
Residential,South,Park,42,101,Night,3/13/24,19:21:17
Downtown,West,School,12,99,Morning,1/25/25,06:14:11
Industrial,South,Mall,35,92,Night,10/9/19,12:42:30
Suburb,South,Park,38,110,Evening,5/26/21,17:42:29
Downtown,North,Hospital,18,138,Afternoon,3/24/25,04:33:06
Suburb,West,Park,94,86,Morning,1/28/23,07:23:36
Residential,East,Mall,30,31,Evening,1/20/18,20:47:03
Suburb,North,Hospital,32,136,Night,2/1/22,05:57:45
Residential,North,Park,11,126,Night,2/20/19,03:32:04
Downtown,West,Park,34,23,Evening,11/3/22,09:13:56
Downtown,South,Hospital,83,105,Evening,10/24/19,10:42:06
Suburb,North,Stadium,49,106,Morning,3/5/24,02:33:40
Suburb,West,School,49,142,Morning,10/6/23,05:32:45
Downtown,North,School,86,119,Morning,10/1/18,05:02:23
Suburb,West,Hospital,28,50,Afternoon,6/7/21,16:58:53
Downtown,East,Park,89,49,Evening,2/13/24,15:08:45
Residential,North,Park,15,109,Afternoon,10/20/19,08:23:21
Downtown,South,Mall,82,23,Morning,7/7/22,14:52:56
Suburb,West,Stadium,26,96,Afternoon,12/9/20,11:54:08
Suburb,East,Mall,47,149,Morning,6/23/21,01:08:45
Residential,North,Mall,17,43,Night,1/17/22,19:06:10
Suburb,East,Mall,90,108,Afternoon,7/20/19,02:12:55
Downtown,North,Stadium,40,101,Night,3/14/23,19:15:49
Industrial,South,Park,87,62,Afternoon,10/28/19,00:08:51
Industrial,South,Stadium,55,56,Night,12/14/22,02:50:58
Suburb,East,School,98,82,Morning,1/17/22,09:08:44
Suburb,North,School,35,118,Night,8/22/24,20:10:55
Suburb,South,School,78,126,Evening,4/6/18,06:40:11
Suburb,East,School,91,71,Morning,5/19/19,10:37:11
Industrial,North,Hospital,67,146,Night,3/17/24,03:43:04
Residential,East,School,52,41,Afternoon,7/15/18,04:52:34
Downtown,East,School,60,73,Night,3/16/21,18:20:48
Residential,West,Hospital,24,59,Afternoon,5/21/22,13:50:52
Suburb,West,Mall,86,138,Night,12/31/18,10:41:55
Downtown,North,Hospital,10,39,Evening,4/1/20,21:56:58
Residential,West,Stadium,15,76,Afternoon,10/30/21,16:01:23
Industrial,East,Park,20,75,Afternoon,10/30/18,08:24:54
Industrial,South,Park,82,56,Night,1/16/21,04:34:22
Industrial,East,Park,52,90,Afternoon,5/5/18,08:46:13
Suburb,East,Mall,38,99,Night,8/11/22,22:04:43
Suburb,East,School,24,90,Evening,6/19/24,18:43:39
Industrial,South,School,61,85,Evening,7/22/22,02:18:13
Suburb,North,School,30,35,Evening,2/24/23,14:15:33
Residential,South,Mall,53,116,Afternoon,5/13/19,04:48:37
Downtown,East,Park,99,38,Night,1/15/18,04:45:54
Downtown,North,Park,99,99,Evening,8/27/24,23:00:15
Downtown,North,Hospital,81,113,Afternoon,1/19/20,17:10:15
Downtown,South,Stadium,11,31,Night,1/27/20,08:37:59
Industrial,East,Park,67,110,Morning,9/16/19,14:30:45
Industrial,South,Stadium,36,45,Morning,3/12/22,20:10:37
Suburb,East,Park,95,54,Evening,11/15/22,17:53:11
Industrial,East,Hospital,58,123,Night,11/2/24,02:54:25
Industrial,East,School,37,35,Night,9/11/23,13:20:30
Industrial,West,Mall,74,48,Evening,6/15/20,23:24:19
Industrial,East,School,61,105,Afternoon,4/11/18,17:00:12
Residential,East,Hospital,25,28,Evening,4/27/19,01:47:53
Suburb,North,Park,19,95,Morning,2/14/18,13:36:24
Residential,South,Stadium,52,91,Evening,11/15/22,05:33:53
Industrial,South,Stadium,59,34,Afternoon,10/8/21,08:50:43
Industrial,North,Mall,65,88,Morning,11/17/23,21:18:05
Residential,North,Mall,48,91,Morning,7/29/20,09:35:12
Industrial,North,Park,76,78,Afternoon,5/25/21,09:15:21
Industrial,South,Park,34,128,Afternoon,10/9/24,09:38:29
Residential,West,Stadium,29,36,Evening,2/22/20,17:31:25
Downtown,South,Mall,74,146,Evening,1/19/19,12:04:03
Residential,North,Stadium,39,32,Afternoon,7/12/24,21:18:24
Industrial,West,Hospital,16,98,Evening,4/1/23,03:21:57
Suburb,East,Park,92,46,Evening,2/26/25,22:57:25
Residential,South,Stadium,38,132,Night,5/31/21,13:25:36
Industrial,East,Mall,99,84,Morning,1/12/22,11:44:20
Industrial,South,Hospital,65,79,Afternoon,6/18/21,08:10:20
Downtown,West,School,68,140,Night,12/25/18,16:07:43
Suburb,South,Park,74,26,Night,8/26/20,12:26:43
Suburb,West,Mall,19,137,Afternoon,11/7/23,18:03:33
Downtown,West,Mall,64,146,Night,8/17/18,21:40:39
Industrial,North,Hospital,25,63,Afternoon,6/21/18,14:40:17
Residential,West,Mall,15,131,Evening,5/17/21,02:32:28
Suburb,South,School,44,87,Morning,9/14/22,01:20:41
Suburb,East,Hospital,67,106,Afternoon,3/3/20,20:06:16
Downtown,West,Park,78,33,Evening,10/26/21,22:24:02
Suburb,East,Mall,49,129,Afternoon,9/22/23,10:18:45
Downtown,East,Park,55,72,Night,4/23/22,15:45:58
Suburb,West,Hospital,52,106,Morning,2/13/23,12:39:53
Suburb,West,School,88,129,Morning,12/9/21,14:14:12
Downtown,North,School,49,78,Night,9/8/20,04:44:27
Industrial,East,Mall,82,104,Night,5/18/18,15:02:00
Residential,East,Stadium,20,144,Evening,7/8/21,07:36:02
Residential,North,School,30,129,Evening,9/29/22,01:25:54
Downtown,East,Park,40,47,Evening,3/6/20,09:06:30
Downtown,East,School,17,100,Morning,2/26/25,14:52:59
Residential,North,Stadium,16,99,Afternoon,12/12/22,01:58:59
Suburb,South,Park,56,32,Night,3/28/25,09:53:46
Downtown,West,Mall,49,62,Morning,8/16/22,20:40:26
Downtown,West,Park,84,141,Morning,2/25/25,20:59:38
Suburb,North,Park,71,98,Morning,12/13/24,09:37:05
Downtown,West,Mall,14,96,Evening,10/8/19,22:40:51
Downtown,North,Park,45,79,Afternoon,7/7/18,00:38:12
Industrial,West,Stadium,53,63,Evening,5/4/18,19:01:06
Residential,East,Park,90,61,Afternoon,4/30/19,09:10:04
Residential,East,Hospital,20,77,Morning,10/28/22,17:44:12
Downtown,East,Hospital,91,131,Night,4/1/23,10:44:24
Suburb,West,Mall,78,128,Evening,2/5/18,05:51:15
Downtown,East,Hospital,16,100,Evening,5/11/21,13:25:49
Suburb,South,Mall,96,121,Morning,8/6/24,03:04:16
Downtown,West,Hospital,33,118,Evening,3/25/19,06:43:22
Residential,East,Stadium,67,100,Evening,10/5/22,11:48:43
Downtown,South,Park,70,46,Afternoon,9/13/23,02:02:11
Suburb,South,Hospital,16,59,Morning,7/20/24,00:05:13
Downtown,South,Park,42,71,Night,1/31/21,21:27:32
Residential,South,Hospital,89,26,Night,4/6/24,01:36:02
Downtown,West,Hospital,98,103,Night,8/30/19,15:27:02
Suburb,West,Mall,40,135,Morning,4/4/22,13:40:02
Industrial,North,Stadium,55,28,Night,2/1/18,22:16:11
Industrial,South,Park,17,30,Night,4/18/19,11:41:31
Suburb,West,Hospital,53,106,Afternoon,10/23/23,16:06:56
Residential,East,Stadium,62,34,Morning,11/1/23,10:40:21
Downtown,North,Park,84,103,Morning,11/13/23,00:15:02
Residential,South,Mall,50,117,Afternoon,10/6/19,10:53:18
Residential,South,Park,14,43,Evening,2/22/21,13:13:10
Residential,East,Stadium,87,133,Morning,6/17/24,09:37:42
Residential,West,Mall,38,139,Morning,9/3/23,09:41:55
Suburb,West,Hospital,45,105,Evening,12/16/24,01:29:31
Residential,East,Stadium,73,83,Night,10/15/22,13:19:51
Residential,North,Park,46,136,Evening,3/25/19,06:56:11
Residential,North,Park,66,23,Afternoon,7/22/22,21:46:40
Residential,West,Stadium,25,63,Evening,2/21/21,05:45:31
Suburb,West,Stadium,70,126,Night,3/2/22,22:00:13
Suburb,North,Stadium,90,120,Morning,10/6/22,05:40:01
Downtown,South,Park,36,114,Night,10/17/21,01:20:34
Industrial,South,Hospital,76,40,Afternoon,11/11/21,11:20:46
Downtown,South,Stadium,24,41,Evening,4/25/18,19:59:58
Downtown,West,Hospital,79,40,Night,12/5/22,11:27:07
Suburb,West,Stadium,43,73,Afternoon,2/9/19,07:56:11
Industrial,South,Hospital,83,50,Night,1/16/18,19:00:15
Downtown,North,Park,32,89,Morning,6/18/22,23:15:24
Suburb,South,Stadium,77,97,Night,12/3/19,09:23:12
Suburb,East,School,76,148,Night,3/2/19,09:53:43
Industrial,East,School,14,138,Night,1/29/19,21:55:58
Residential,East,School,45,143,Night,11/22/18,11:13:24
Residential,East,Park,12,114,Afternoon,3/21/22,15:46:05
Residential,North,School,85,140,Evening,8/14/20,14:21:13
Suburb,South,Stadium,94,134,Evening,9/20/24,06:15:58
Industrial,East,Mall,15,112,Morning,11/7/23,06:52:44
Downtown,East,Stadium,49,46,Morning,6/18/22,02:44:38
Industrial,South,School,46,45,Afternoon,7/18/19,19:26:32
Suburb,West,Stadium,32,30,Evening,2/20/25,07:04:33
Industrial,West,Park,78,20,Evening,1/17/20,16:23:16
Suburb,East,Stadium,85,78,Evening,1/13/19,12:37:11
Suburb,East,Hospital,37,31,Morning,1/11/22,01:52:46
Residential,North,Park,79,115,Afternoon,7/21/21,11:43:25
Downtown,South,School,55,47,Afternoon,10/30/19,14:15:35
Industrial,North,Stadium,90,34,Morning,10/1/20,02:17:21
Suburb,West,School,14,109,Morning,1/3/18,02:00:50
Residential,South,Park,78,129,Morning,1/16/21,13:20:02
Industrial,North,Hospital,21,101,Afternoon,12/19/21,18:41:56
Residential,North,School,67,81,Afternoon,10/20/19,16:28:49
Suburb,East,Stadium,55,128,Night,7/3/21,12:00:33
Residential,South,Park,82,28,Morning,10/12/24,05:17:55
Industrial,North,Hospital,80,122,Evening,2/16/23,09:08:18
Downtown,West,School,48,97,Afternoon,4/7/19,17:00:44
Suburb,West,Mall,63,53,Night,1/12/23,01:00:40
Industrial,West,School,65,119,Evening,6/5/22,20:17:27
Downtown,West,Park,12,26,Evening,9/12/22,16:52:27
Industrial,South,Hospital,44,129,Afternoon,2/4/23,03:26:19
Downtown,West,Park,43,114,Evening,9/25/18,17:53:44
Residential,North,Park,96,94,Morning,5/8/19,14:27:31
Industrial,West,Hospital,28,55,Afternoon,9/8/22,23:00:24
Residential,East,Stadium,30,50,Morning,9/25/22,20:15:18
Residential,East,School,68,130,Night,6/24/22,10:06:40
Suburb,East,Stadium,35,143,Evening,11/18/20,00:08:24
Industrial,East,Stadium,67,33,Morning,1/24/25,15:58:21
Residential,East,Park,67,144,Evening,1/27/18,15:25:38
Industrial,South,School,50,71,Morning,7/5/23,16:03:40
Industrial,North,Mall,42,85,Afternoon,1/27/21,17:01:57
Industrial,North,Stadium,24,20,Night,5/21/18,20:13:45
Residential,South,School,80,38,Evening,3/12/19,19:01:52
Downtown,East,Hospital,27,123,Morning,1/5/19,13:33:09
Suburb,South,School,59,82,Evening,3/17/23,11:31:19
Suburb,North,Stadium,14,37,Evening,7/14/19,04:56:20
Suburb,North,Mall,13,51,Evening,1/29/21,10:42:53
Downtown,West,Park,90,37,Night,3/9/20,12:28:48
Suburb,North,School,47,33,Morning,1/9/21,12:45:14
Industrial,East,Hospital,72,92,Evening,1/29/20,10:23:13
Downtown,West,Hospital,31,40,Afternoon,10/18/23,06:23:20
Suburb,East,School,48,57,Morning,1/4/22,01:45:18
Downtown,South,School,94,90,Evening,4/7/19,12:38:30
Industrial,South,Hospital,42,125,Morning,6/21/19,15:02:12
Industrial,East,Mall,73,98,Morning,7/7/23,12:44:36
